ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
UGA,128952,Postneonatal mortality rate,55,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2000-01,DHS,,,48,63,
UGA,302274,Postneonatal mortality rate,55,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2000-01,DHS,,,49,60,
UGA,170341,Infant mortality rate,88,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2000-01,DHS,,,79,98,
UGA,142960,Infant mortality rate,89,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2000-01,DHS,,,82,97,
UGA,113271,Child mortality rate,69,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2000-01,DHS,,,60,78,
UGA,132230,Child mortality rate,74,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2000-01,DHS,,,66,81,
UGA,302250,Under-five mortality rate,151,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2000-01,DHS,,,138,165,
UGA,166140,Under-five mortality rate,156,0,UG,Uganda,2000,UG2000DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2000-01,DHS,,,146,167,
UGA,302304,Neonatal mortality rate,27,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2006,DHS,,,23,31,
UGA,302355,Neonatal mortality rate,31,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2006,DHS,,,28,35,
UGA,128886,Postneonatal mortality rate,44,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2006,DHS,,,39,50,
UGA,302335,Postneonatal mortality rate,52,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2006,DHS,,,48,57,
UGA,130085,Infant mortality rate,71,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2006,DHS,,,64,78,
UGA,126228,Infant mortality rate,83,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2006,DHS,,,78,89,
UGA,113656,Child mortality rate,61,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2006,DHS,,,54,68,
UGA,130090,Child mortality rate,66,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2006,DHS,,,60,71,
UGA,157149,Under-five mortality rate,128,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2006,DHS,,,118,137,
UGA,144806,Under-five mortality rate,144,0,UG,Uganda,2006,UG2006DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2006,DHS,,,136,152,
UGA,302560,Neonatal mortality rate,28,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2009,MIS,,,18,38,
UGA,302441,Neonatal mortality rate,32,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2009,MIS,,,24,39,
UGA,129430,Postneonatal mortality rate,27,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2009,MIS,,,21,34,
UGA,162025,Postneonatal mortality rate,35,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2009,MIS,,,28,41,
UGA,148797,Infant mortality rate,55,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2009,MIS,,,45,66,
UGA,137320,Infant mortality rate,67,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2009,MIS,,,58,75,
UGA,99674,Child mortality rate,32,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2009,MIS,,,25,40,
UGA,144463,Child mortality rate,37,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2009,MIS,,,29,44,
UGA,302561,Under-five mortality rate,86,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2009,MIS,,,74,98,
UGA,302513,Under-five mortality rate,101,0,UG,Uganda,2009,UG2009MIS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2009,MIS,,,89,113,
UGA,130065,Neonatal mortality rate,27,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2011,DHS,,,22,32,
UGA,110189,Neonatal mortality rate,30,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2011,DHS,,,27,34,
UGA,302528,Postneonatal mortality rate,27,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2011,DHS,,,22,31,
UGA,142248,Postneonatal mortality rate,34,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2011,DHS,,,30,38,
UGA,302511,Infant mortality rate,54,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2011,DHS,,,48,60,
UGA,143142,Infant mortality rate,65,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2011,DHS,,,59,70,
UGA,149484,Child mortality rate,38,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2011,DHS,,,32,44,
UGA,104006,Child mortality rate,44,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2011,DHS,,,39,49,
UGA,302525,Under-five mortality rate,90,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2011,DHS,,,81,99,
UGA,157150,Under-five mortality rate,106,0,UG,Uganda,2011,UG2011DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2011,DHS,,,98,114,
UGA,128880,Neonatal mortality rate,27,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2016,DHS,,,24,30,
UGA,101280,Neonatal mortality rate,27,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2016,DHS,,,25,30,
UGA,167395,Postneonatal mortality rate,16,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2016,DHS,,,14,19,
UGA,139929,Postneonatal mortality rate,20,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2016,DHS,,,18,22,
UGA,302662,Infant mortality rate,43,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2016,DHS,,,39,47,
UGA,130035,Infant mortality rate,48,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2016,DHS,,,45,51,
UGA,117434,Child mortality rate,22,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2016,DHS,,,20,25,
UGA,118339,Child mortality rate,27,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2016,DHS,,,24,29,
UGA,103217,Under-five mortality rate,64,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2016,DHS,,,59,69,
UGA,130669,Under-five mortality rate,73,0,UG,Uganda,2016,UG2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2016,DHS,,,69,77,
