Date,caf_total_portions_prepared,caf_total_portions_sold,caf_total_waste_portions,caf_avg_waste_pct,caf_total_revenue_ugx,caf_total_ingredient_cost_ugx,caf_total_waste_cost_ugx,caf_total_gross_profit_ugx,caf_posho_flour_kg,caf_beans_kg,caf_cooking_oil_l,caf_matooke_kg,caf_groundnuts_kg,caf_rice_kg,caf_chicken_kg,caf_offal_kg,caf_onions_kg,caf_irish_potatoes_kg,caf_eggs_units,caf_wheat_flour_kg,caf_cabbage_kg,caf_tomatoes_kg,caf_meals_offered,kiosk_total_transactions,kiosk_total_revenue_ugx,kiosk_avg_transaction_ugx,kiosk_items_sold,kiosk_cash_pct,kiosk_momo_pct,kiosk_airtel_pct,kiosk_discounted_txns,kiosk_peak_hour,kiosk_near_lecture_sales,kiosk_sold_biscuits_packet,kiosk_sold_chapati,kiosk_sold_groundnuts_packet,kiosk_sold_juice_splash,kiosk_sold_mandazi_2_pcs,kiosk_sold_rolex,kiosk_sold_samosa_2_pcs,kiosk_sold_soda,kiosk_sold_water_bottle,kiosk_rev_africa_hall_kiosk,kiosk_rev_education_block_kiosk,kiosk_rev_engineering_block_kiosk,kiosk_rev_freedom_square_kiosk,kiosk_rev_main_gate_kiosk,kiosk_rev_mitchell_hall_kiosk,kiosk_rev_senate_building_kiosk,Day_of_Week,Academic_Period,Is_Weekend,caf_rolex_portions,kiosk_rolex_units,total_campus_revenue_ugx,campus_gross_margin_pct,total_portions_served,revenue_per_portion_ugx,waste_cost_pct_of_revenue,ingredient_cost_ratio,kiosk_revenue_share_pct,demand_fulfilment_rate_pct,procurement_efficiency,total_rolex_demand,rolex_egg_demand_units,rolex_wheat_flour_demand_kg,demand_vs_avg_pct
2024-02-12,1639,1417,222,12.566666666666668,5302000.0,2855120.0,362030.0,2446880.0,80.8,48.4,41.8,182.8,30.4,44.0,39.6,26.2,8.8,76.3,726,47.9,20.0,16.0,6,506,629500.0,1244.0711462450593,506,62.1,27.3,10.7,50,9,70,33,67,47,30,77,101,95,38,18,103750.0,89000.0,85000.0,71250.0,90250.0,94500.0,95750.0,Monday,Sem1_Teaching,False,335,101.0,5931500.0,41.25,1923,3085.0,6.1,53.85,10.61,86.46,86.46,436.0,436,21.8,22.4
2024-02-13,1637,1364,273,16.266666666666666,4986000.0,2774570.0,448890.0,2211430.0,83.5,50.1,38.1,182.3,28.6,40.0,36.0,29.1,9.7,64.8,716,52.6,21.9,17.5,6,561,702500.0,1252.22816399287,561,60.4,25.8,13.7,53,9,66,24,76,58,46,77,107,101,46,26,109750.0,79250.0,120500.0,97000.0,88500.0,103250.0,104250.0,Tuesday,Sem1_Teaching,False,362,107.0,5688500.0,38.88,1925,2955.0,7.89,55.65,12.35,83.32,83.32,469.0,469,23.45,22.5
2024-02-14,1593,1425,168,9.916666666666666,5283000.0,2745640.0,264680.0,2537360.0,90.5,54.3,38.3,170.4,26.5,42.8,38.5,27.6,9.2,64.0,659,46.2,19.2,15.4,6,520,663250.0,1275.4807692307693,520,62.5,25.4,12.1,53,12,79,24,55,43,38,77,103,103,51,26,90750.0,108500.0,88000.0,85500.0,93000.0,111750.0,85750.0,Wednesday,Sem1_Teaching,False,314,103.0,5946250.0,42.67,1945,3057.0,4.45,51.97,11.15,89.45,89.45,417.0,417,20.85,23.8
2024-02-15,1652,1368,284,17.116666666666664,5038500.0,2846280.0,494550.0,2192220.0,79.2,47.5,40.400000000000006,180.39999999999998,28.9,44.0,39.6,27.8,9.2,72.4,744,52.1,21.7,17.4,6,523,675500.0,1291.586998087954,523,58.9,28.5,12.6,44,12,70,24,70,48,43,73,111,92,43,19,95250.0,84750.0,102000.0,117250.0,98000.0,84750.0,93500.0,Thursday,Sem1_Teaching,False,350,111.0,5714000.0,38.37,1891,3022.0,8.66,56.49,11.82,82.81,82.81,461.0,461,23.05,20.3
2024-02-16,1368,1222,146,11.049999999999999,4529000.0,2380650.0,253040.0,2148350.0,72.0,43.2,34.3,159.9,25.8,35.4,31.9,24.3,8.1,59.8,568,37.4,15.6,12.5,6,592,743500.0,1255.912162162162,592,57.6,28.0,14.4,58,9,80,36,70,59,30,85,128,115,40,29,105000.0,111500.0,99000.0,106500.0,92500.0,111750.0,117250.0,Friday,Sem1_Teaching,False,299,128.0,5272500.0,40.75,1814,2907.0,4.8,52.56,14.1,89.33,89.33,427.0,427,21.35,15.4
2024-02-17,492,443,49,10.466666666666667,1638000.0,857130.0,86790.0,780870.0,28.2,16.9,12.3,52.7,8.1,13.6,12.2,8.7,2.9,21.3,203,13.3,5.6,4.4,6,140,172500.0,1232.142857142857,140,53.6,29.3,17.1,15,9,0,2,12,19,7,19,27,33,14,7,16000.0,32000.0,26000.0,32000.0,20750.0,17750.0,28000.0,Saturday,Sem1_Teaching,True,106,27.0,1810500.0,43.13,583,3105.0,4.79,52.33,9.53,90.04,90.04,133.0,133,6.65,-62.9
2024-02-18,483,402,81,16.116666666666667,1465000.0,817910.0,136090.0,647090.0,26.8,16.1,11.7,49.7,7.7,11.8,10.6,8.1,2.7,21.3,217,15.0,6.2,5.0,6,134,164250.0,1225.7462686567164,134,59.0,29.9,11.2,13,8,0,10,14,15,14,13,22,30,10,6,18750.0,25000.0,27750.0,23500.0,21000.0,26000.0,22250.0,Sunday,Sem1_Teaching,True,103,22.0,1629250.0,39.72,536,3040.0,8.35,55.83,10.08,83.23,83.23,125.0,125,6.25,-65.9
2024-02-19,1643,1459,184,11.699999999999998,5371000.0,2828200.0,308170.0,2542800.0,84.2,50.5,39.5,172.9,28.8,45.2,40.7,24.8,8.2,66.5,722,52.4,21.9,17.5,6,568,712750.0,1254.8415492957747,568,59.2,29.6,11.3,60,14,79,36,75,51,38,89,116,85,44,34,102750.0,104000.0,115250.0,111250.0,97000.0,88250.0,94250.0,Monday,Sem1_Teaching,False,375,116.0,6083750.0,41.8,2027,3001.0,5.07,52.66,11.72,88.8,88.8,491.0,491,24.55,29.0
2024-02-20,1667,1436,231,13.75,5287000.0,2872210.0,386420.0,2414790.0,94.2,56.5,40.6,177.5,29.6,44.6,40.1,25.3,8.5,66.8,697,49.3,20.6,16.4,6,563,692000.0,1229.1296625222026,563,60.9,27.4,11.7,60,9,94,26,76,62,47,81,106,101,40,24,111000.0,99000.0,91500.0,115250.0,92500.0,106250.0,76500.0,Tuesday,Sem1_Teaching,False,335,106.0,5979000.0,40.39,1999,2991.0,6.46,54.33,11.57,86.14,86.14,441.0,441,22.05,27.2
2024-02-21,1659,1524,135,7.3,5635500.0,2845630.0,210740.0,2789870.0,95.0,57.0,42.0,183.1,30.3,39.6,35.6,26.6,8.8,76.3,710,46.0,19.2,15.3,6,555,686500.0,1236.936936936937,555,60.2,27.6,12.3,59,10,78,25,88,49,29,84,112,104,38,26,97250.0,93250.0,96250.0,80750.0,80750.0,129250.0,109000.0,Wednesday,Sem1_Teaching,False,328,112.0,6322000.0,44.13,2079,3041.0,3.33,50.49,10.86,91.86,91.86,440.0,440,22.0,32.3
2024-02-22,1631,1437,194,11.666666666666666,5407500.0,2859370.0,317060.0,2548130.0,93.5,56.1,41.2,168.10000000000002,26.1,47.8,43.0,27.3,9.1,71.4,677,44.5,18.6,14.8,6,542,666500.0,1229.7047970479705,542,57.6,30.8,11.6,52,9,78,21,58,83,35,81,105,90,51,18,94250.0,91000.0,93000.0,100750.0,104250.0,106000.0,77250.0,Thursday,Sem1_Teaching,False,327,105.0,6074000.0,41.95,1979,3069.0,5.22,52.88,10.97,88.11,88.11,432.0,432,21.6,25.9
2024-02-23,1431,1300,131,9.0,4769000.0,2461090.0,239030.0,2307910.0,79.8,47.9,35.6,155.5,24.7,36.2,32.6,24.3,8.1,63.7,613,40.8,17.0,13.6,6,538,653000.0,1213.7546468401488,538,58.9,30.1,11.0,57,9,80,25,55,61,42,78,95,111,43,28,109750.0,83250.0,95250.0,85500.0,98250.0,95250.0,85750.0,Friday,Sem1_Teaching,False,299,95.0,5422000.0,42.57,1838,2950.0,4.41,51.61,12.04,90.85,90.85,394.0,394,19.7,17.0
2024-02-24,500,435,65,14.35,1604500.0,871960.0,118150.0,732540.0,27.8,16.6,12.4,53.0,8.7,14.2,12.8,7.8,2.6,21.0,209,14.3,6.0,4.8,6,138,187500.0,1358.695652173913,138,59.4,26.8,13.8,10,9,0,7,16,11,10,21,34,19,13,7,32250.0,25500.0,25750.0,14750.0,34500.0,27000.0,27750.0,Saturday,Sem1_Teaching,True,105,34.0,1792000.0,40.88,573,3127.0,6.59,54.34,10.46,87.0,87.0,139.0,139,6.95,-63.5
2024-02-25,480,398,82,16.8,1479500.0,835290.0,141660.0,644210.0,25.0,15.0,12.1,47.5,7.6,14.0,12.6,7.3,2.5,22.0,216,14.6,6.1,4.9,6,135,163750.0,1212.962962962963,135,60.7,28.9,10.4,13,12,0,6,15,13,10,22,25,30,9,5,18000.0,27750.0,27500.0,22500.0,23750.0,28500.0,15750.0,Sunday,Sem1_Teaching,True,97,25.0,1643250.0,39.2,533,3083.0,8.62,56.46,9.97,82.92,82.92,122.0,122,6.1,-66.1
2024-02-26,1615,1401,214,12.75,5310000.0,2825440.0,313890.0,2484560.0,79.5,47.7,41.0,175.8,28.2,45.8,41.2,27.0,9.0,73.8,711,47.4,19.8,15.8,6,543,667500.0,1229.2817679558011,543,56.4,32.2,11.4,53,8,97,26,63,57,40,79,98,108,46,26,82000.0,110000.0,89250.0,97000.0,120500.0,96250.0,72500.0,Monday,Sem1_Teaching,False,314,98.0,5977500.0,41.57,1944,3075.0,5.25,53.21,11.17,86.75,86.75,412.0,412,20.6,23.7
2024-02-27,1609,1422,187,11.950000000000001,5238500.0,2783950.0,337710.0,2454550.0,79.0,47.4,39.900000000000006,177.6,29.8,43.0,38.7,25.1,8.3,70.3,714,49.4,20.6,16.5,6,512,650250.0,1270.01953125,512,59.4,28.7,11.9,47,12,73,23,59,54,43,66,98,91,49,29,85750.0,108000.0,77750.0,84750.0,99750.0,103500.0,90750.0,Tuesday,Sem1_Teaching,False,344,98.0,5888750.0,41.68,1934,3045.0,5.73,53.14,11.04,88.38,88.38,442.0,442,22.1,23.1
2024-02-28,1597,1379,218,13.733333333333334,5083000.0,2770520.0,377250.0,2312480.0,95.2,57.1,39.1,174.1,28.3,43.2,38.9,26.1,8.7,63.0,633,43.6,18.2,14.5,6,560,666250.0,1189.732142857143,560,65.4,22.7,12.0,54,12,89,32,60,64,41,88,85,104,56,30,87500.0,83000.0,95750.0,104250.0,96000.0,89250.0,110500.0,Wednesday,Sem1_Teaching,False,286,85.0,5749250.0,40.22,1939,2965.0,6.56,54.51,11.59,86.35,86.35,371.0,371,18.55,23.4
2024-02-29,1644,1401,243,14.25,5173000.0,2823890.0,402100.0,2349110.0,93.5,56.1,40.2,170.0,27.8,43.8,39.4,25.2,8.4,68.2,702,49.2,20.5,16.4,6,602,772000.0,1282.392026578073,602,59.0,29.9,11.1,52,9,80,26,73,62,40,85,123,107,59,27,103250.0,122750.0,127250.0,122250.0,90750.0,86250.0,119500.0,Thursday,Sem1_Teaching,False,323,123.0,5945000.0,39.51,2003,2968.0,6.76,54.59,12.99,85.22,85.22,446.0,446,22.3,27.5
2024-03-01,1588,1421,167,10.75,5177000.0,2730040.0,313660.0,2446960.0,83.2,49.9,37.8,165.2,27.3,44.2,39.8,24.0,8.0,61.6,689,51.0,21.2,17.0,6,587,742250.0,1264.4804088586031,587,61.3,29.1,9.5,61,9,88,32,72,47,32,90,130,114,36,34,104500.0,99250.0,116000.0,123250.0,112250.0,96250.0,90750.0,Friday,Sem1_Teaching,False,380,130.0,5919250.0,41.34,2008,2948.0,5.3,52.73,12.54,89.48,89.48,510.0,510,25.5,27.8
2024-03-02,552,473,79,14.016666666666666,1771000.0,973120.0,134550.0,797880.0,29.5,17.7,13.7,61.4,9.5,16.4,14.8,10.0,3.4,22.4,222,15.1,6.3,5.0,6,146,187500.0,1284.2465753424658,146,68.5,21.2,10.3,9,14,0,7,12,15,10,21,31,28,12,10,25500.0,22250.0,27500.0,22500.0,29000.0,34750.0,26000.0,Saturday,Sem1_Teaching,True,98,31.0,1958500.0,40.74,619,3164.0,6.87,54.95,9.57,85.69,85.69,129.0,129,6.45,-60.6
2024-03-03,549,483,66,13.066666666666668,1758000.0,955700.0,137370.0,802300.0,27.5,16.5,13.0,58.300000000000004,8.8,16.2,14.6,9.9,3.3,22.0,235,16.9,7.1,5.6,6,126,160250.0,1271.8253968253969,126,57.1,28.6,14.3,14,10,0,8,15,6,9,17,21,31,15,4,29500.0,22000.0,18250.0,23750.0,27250.0,19000.0,20500.0,Sunday,Sem1_Teaching,True,134,21.0,1918250.0,41.82,609,3150.0,7.16,54.36,8.35,87.98,87.98,155.0,155,7.75,-61.2
2024-03-04,1642,1501,141,9.216666666666667,5540500.0,2855670.0,260810.0,2684830.0,91.5,54.9,40.0,175.7,26.7,46.2,41.6,29.5,9.9,67.9,678,46.4,19.4,15.5,6,562,667000.0,1186.832740213523,562,56.8,30.2,13.0,66,9,65,39,58,56,36,98,97,109,42,27,103250.0,83500.0,99750.0,115750.0,106000.0,83500.0,75250.0,Monday,Sem1_Teaching,False,373,97.0,6207500.0,43.25,2063,3009.0,4.2,51.54,10.75,91.41,91.41,470.0,470,23.5,31.3
2024-03-05,1634,1450,184,9.416666666666666,5413500.0,2797580.0,250870.0,2615920.0,93.8,56.2,39.8,180.6,29.4,40.4,36.4,27.0,9.0,67.2,679,46.9,19.6,15.6,6,527,641000.0,1216.3187855787476,527,57.1,30.0,12.9,57,14,76,31,74,50,36,78,99,99,35,25,74250.0,93250.0,101750.0,111250.0,92250.0,81250.0,87000.0,Tuesday,Sem1_Teaching,False,305,99.0,6054500.0,43.21,1977,3062.0,4.14,51.68,10.59,88.74,88.74,404.0,404,20.2,25.8
2024-03-06,1674,1479,195,11.716666666666667,5465500.0,2899460.0,332320.0,2566040.0,94.5,56.7,40.6,172.0,26.9,47.8,43.0,27.6,9.2,66.8,699,49.6,20.7,16.5,6,571,719750.0,1260.507880910683,571,61.8,27.7,10.5,54,12,78,34,72,61,41,80,112,86,51,34,104750.0,82750.0,103750.0,94000.0,114500.0,109500.0,110500.0,Wednesday,Sem1_Teaching,False,384,112.0,6185250.0,41.49,2050,3017.0,5.37,53.05,11.64,88.35,88.35,496.0,496,24.8,30.5
2024-03-07,1569,1418,151,10.299999999999999,5154500.0,2689970.0,282800.0,2464530.0,92.5,55.5,38.6,164.7,25.7,40.0,36.0,26.6,8.8,67.9,662,44.5,18.6,14.8,6,592,735000.0,1241.554054054054,592,61.7,28.9,9.5,61,9,78,34,65,55,44,98,116,99,47,34,91500.0,83250.0,110250.0,124750.0,115250.0,116500.0,93500.0,Thursday,Sem1_Teaching,False,345,116.0,5889500.0,41.85,2010,2930.0,4.8,52.19,12.48,90.38,90.38,461.0,461,23.05,27.9
2024-03-08,1338,1163,175,12.066666666666668,4320500.0,2285220.0,260900.0,2035280.0,76.0,45.6,31.8,142.8,21.8,34.2,30.8,23.8,8.0,54.2,563,39.7,16.6,13.2,6,559,696500.0,1245.974955277281,559,62.3,26.3,11.4,60,12,79,28,62,61,42,81,118,109,33,25,97750.0,110500.0,94750.0,97750.0,85750.0,101250.0,108750.0,Friday,Sem1_Teaching,False,282,118.0,5017000.0,40.57,1722,2913.0,5.2,52.89,13.88,86.92,86.92,400.0,400,20.0,9.6
2024-03-09,492,443,49,10.566666666666666,1624500.0,855140.0,96330.0,769360.0,27.8,16.6,12.3,56.4,9.2,12.8,11.5,8.4,2.8,20.6,198,13.2,5.5,4.4,6,141,170500.0,1209.2198581560283,141,55.3,30.5,14.2,15,14,0,3,11,15,7,32,23,25,20,5,32000.0,24000.0,20000.0,28000.0,25000.0,19000.0,22500.0,Saturday,Sem1_Teaching,True,96,23.0,1795000.0,42.86,584,3074.0,5.37,52.64,9.5,90.04,90.04,119.0,119,5.95,-62.8
2024-03-10,465,410,55,12.316666666666668,1506500.0,802130.0,100680.0,704370.0,23.5,14.1,11.8,50.0,7.6,12.0,10.8,8.4,2.8,22.8,212,13.7,5.7,4.6,6,124,159750.0,1288.3064516129032,124,62.9,24.2,12.9,8,10,0,5,12,15,9,11,27,25,7,13,25000.0,25500.0,19750.0,24000.0,19000.0,21500.0,25000.0,Sunday,Sem1_Teaching,True,108,27.0,1666250.0,42.27,534,3120.0,6.04,53.24,9.59,88.17,88.17,135.0,135,6.75,-66.0
2024-03-11,1580,1479,101,5.866666666666667,5390000.0,2667730.0,150170.0,2722270.0,82.5,49.5,36.8,163.8,25.2,39.8,35.8,27.0,9.0,63.7,710,52.4,21.9,17.5,6,598,751000.0,1255.8528428093646,598,63.2,27.1,9.7,64,16,84,20,65,65,43,93,126,117,46,23,98000.0,91750.0,128500.0,112000.0,113000.0,85500.0,122250.0,Monday,Sem1_Teaching,False,386,126.0,6141000.0,44.33,2077,2957.0,2.45,49.49,12.23,93.61,93.61,512.0,512,25.6,32.2
2024-03-12,1636,1494,142,8.85,5575500.0,2836610.0,225510.0,2738890.0,89.8,53.9,41.8,167.8,27.7,44.6,40.1,24.4,8.2,76.3,723,47.5,19.8,15.8,6,548,704500.0,1285.5839416058395,548,57.5,28.1,14.4,56,9,71,34,57,47,47,82,120,100,40,21,116000.0,112250.0,105000.0,84750.0,91000.0,93250.0,102250.0,Tuesday,Sem1_Teaching,False,357,120.0,6280000.0,43.61,2042,3075.0,3.59,50.88,11.22,91.32,91.32,477.0,477,23.85,30.0
2024-03-13,1622,1422,200,12.316666666666668,5221500.0,2827790.0,392810.0,2393710.0,83.5,50.1,40.5,179.7,27.7,44.6,40.1,29.5,9.9,72.4,694,46.1,19.2,15.4,6,569,710500.0,1248.6818980667838,569,59.2,28.8,12.0,73,12,92,25,67,42,49,86,108,117,48,27,84500.0,120250.0,87000.0,97250.0,118250.0,108250.0,95000.0,Wednesday,Sem1_Teaching,False,362,108.0,5932000.0,40.35,1991,2979.0,6.62,54.16,11.98,87.67,87.67,470.0,470,23.5,26.7
2024-03-14,1668,1450,218,12.1,5544500.0,2947500.0,323770.0,2597000.0,90.5,54.3,43.3,185.60000000000002,30.3,47.8,43.0,27.6,9.2,75.9,689,43.6,18.2,14.5,6,568,711000.0,1251.7605633802816,568,60.0,27.3,12.7,53,11,71,30,73,61,43,89,114,78,44,36,118500.0,116750.0,90250.0,115000.0,83500.0,110750.0,76250.0,Thursday,Sem1_Teaching,False,285,114.0,6255500.0,41.52,2018,3100.0,5.18,53.16,11.37,86.93,86.93,399.0,399,19.95,28.4
2024-03-15,1423,1240,183,12.449999999999998,4594000.0,2480450.0,327140.0,2113550.0,72.5,43.5,35.7,162.8,26.1,38.0,34.2,25.1,8.3,63.3,606,40.1,16.7,13.4,6,543,713500.0,1313.9963167587478,543,59.7,29.1,11.2,36,14,96,23,76,54,34,73,115,77,58,33,91000.0,112000.0,128250.0,120750.0,86000.0,84500.0,91000.0,Friday,Sem1_Teaching,False,278,115.0,5307500.0,39.82,1783,2977.0,6.16,53.99,13.44,87.14,87.14,393.0,393,19.65,13.5
2024-03-16,494,443,51,9.816666666666666,1667000.0,870990.0,83150.0,796010.0,23.8,14.2,12.6,55.2,8.9,14.4,13.0,8.4,2.8,22.4,214,14.2,5.9,4.7,6,142,182500.0,1285.2112676056338,142,62.7,23.9,13.4,14,9,0,7,22,12,11,22,34,18,6,10,26250.0,24000.0,24750.0,25500.0,31000.0,19750.0,31250.0,Saturday,Sem1_Teaching,True,95,34.0,1849500.0,43.04,585,3162.0,4.5,52.25,9.87,89.68,89.68,129.0,129,6.45,-62.8
2024-03-17,489,445,44,9.366666666666667,1627000.0,842720.0,84860.0,784280.0,28.5,17.1,12.2,48.7,7.9,13.4,12.1,7.3,2.5,21.0,210,14.4,6.0,4.8,6,133,172500.0,1296.9924812030076,133,60.9,26.3,12.8,8,8,0,11,15,8,6,23,30,23,10,7,25250.0,24500.0,22250.0,21750.0,20500.0,31000.0,27250.0,Sunday,Sem1_Teaching,True,114,30.0,1799500.0,43.58,578,3113.0,4.72,51.8,9.59,91.0,91.0,144.0,144,7.2,-63.2
