Date,Day_of_Week,Academic_Period,Is_Weekend,Meal,Portions_Prepared,Portions_Sold,Waste_Portions,Waste_Pct,Price_UGX,Revenue_UGX,Ingredient_Cost_UGX,Waste_Cost_UGX,Gross_Profit_UGX,Posho_Flour_kg,Beans_kg,Cooking_Oil_L,Matooke_kg,Groundnuts_kg,Rice_kg,Chicken_kg,Offal_kg,Onions_kg,Irish_Potatoes_kg,Eggs_units,Wheat_Flour_kg,Cabbage_kg,Tomatoes_kg
2024-02-03,Saturday,Other,TRUE,Rolex,65,61,4,6.2,"2,500","152,500","61,750","3,800","90,750",0,0,0,0,0,0,0,0,0,0,65,7.8,3.2,2.6
2024-02-04,Sunday,Other,TRUE,Posho & Beans,50,39,11,22.0,"3,000","117,000","67,500","14,850","49,500",12.5,7.5,1,0,0,0,0,0,0,0,0,0,0,0
2024-02-04,Sunday,Other,TRUE,Matooke & Groundnut Stew,43,37,6,14.0,"4,000","148,000","86,000","12,000","62,000",0,0,1.3,17.2,4.3,0,0,0,0,0,0,0,0,0
2024-02-04,Sunday,Other,TRUE,Rice & Chicken,30,26,4,13.3,"6,000","156,000","99,000","13,200","57,000",0,0,1.2,0,0,6,5.4,0,0,0,0,0,0,0
2024-02-04,Sunday,Other,TRUE,Katogo (Offal+Matoke),24,23,1,4.2,"3,500","80,500","40,320","1,680","40,180",0,0,0,8.4,0,0,0,3.6,1.2,0,0,0,0,0
2024-02-04,Sunday,Other,TRUE,Chips & Eggs,28,25,3,10.7,"4,500","112,500","52,920","5,670","59,580",0,0,2.2,0,0,0,0,0,0,9.8,42,0,0,0
2024-02-04,Sunday,Other,TRUE,Rolex,57,50,7,12.3,"2,500","125,000","54,150","6,650","70,850",0,0,0,0,0,0,0,0,0,0,57,6.8,2.9,2.3
2024-02-05,Monday,Sem1_Teaching,FALSE,Posho & Beans,353,288,65,18.4,"3,000","864,000","476,550","87,750","387,450",88.2,52.9,7.1,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,Monday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,306,286,20,6.5,"4,000","1,144,000","612,000","40,000","532,000",0,0,9.2,122.4,30.6,0,0,0,0,0,0,0,0,0
2024-02-05,Monday,Sem1_Teaching,FALSE,Rice & Chicken,239,229,10,4.2,"6,000","1,374,000","788,700","33,000","585,300",0,0,9.6,0,0,47.8,43,0,0,0,0,0,0,0
2024-02-05,Monday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),183,176,7,3.8,"3,500","616,000","307,440","11,760","308,560",0,0,0,64,0,0,0,27.4,9.2,0,0,0,0,0
2024-02-05,Monday,Sem1_Teaching,FALSE,Chips & Eggs,183,149,34,18.6,"4,500","670,500","345,870","64,260","324,630",0,0,14.6,0,0,0,0,0,0,64,274,0,0,0
2024-02-05,Monday,Sem1_Teaching,FALSE,Rolex,363,306,57,15.7,"2,500","765,000","344,850","54,150","420,150",0,0,0,0,0,0,0,0,0,0,363,43.6,18.2,14.5
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Posho & Beans,342,285,57,16.7,"3,000","855,000","461,700","76,950","393,300",85.5,51.3,6.8,0,0,0,0,0,0,0,0,0,0,0
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,298,253,45,15.1,"4,000","1,012,000","596,000","90,000","416,000",0,0,8.9,119.2,29.8,0,0,0,0,0,0,0,0,0
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Rice & Chicken,210,186,24,11.4,"6,000","1,116,000","693,000","79,200","423,000",0,0,8.4,0,0,42,37.8,0,0,0,0,0,0,0
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),167,157,10,6.0,"3,500","549,500","280,560","16,800","268,940",0,0,0,58.4,0,0,0,25.1,8.3,0,0,0,0,0
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Chips & Eggs,182,177,5,2.7,"4,500","796,500","343,980","9,450","452,520",0,0,14.6,0,0,0,0,0,0,63.7,273,0,0,0
2024-02-06,Tuesday,Sem1_Teaching,FALSE,Rolex,421,345,76,18.1,"2,500","862,500","399,950","72,200","462,550",0,0,0,0,0,0,0,0,0,0,421,50.5,21.1,16.8
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Posho & Beans,315,297,18,5.7,"3,000","891,000","425,250","24,300","465,750",78.8,47.2,6.3,0,0,0,0,0,0,0,0,0,0,0
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,291,269,22,7.6,"4,000","1,076,000","582,000","44,000","494,000",0,0,8.7,116.4,29.1,0,0,0,0,0,0,0,0,0
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Rice & Chicken,231,183,48,20.8,"6,000","1,098,000","762,300","158,400","335,700",0,0,9.2,0,0,46.2,41.6,0,0,0,0,0,0,0
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),174,139,35,20.1,"3,500","486,500","292,320","58,800","194,180",0,0,0,60.9,0,0,0,26.1,8.7,0,0,0,0,0
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Chips & Eggs,214,193,21,9.8,"4,500","868,500","404,460","39,690","464,040",0,0,17.1,0,0,0,0,0,0,74.9,321,0,0,0
2024-02-07,Wednesday,Sem1_Teaching,FALSE,Rolex,386,305,81,21.0,"2,500","762,500","366,700","76,950","395,800",0,0,0,0,0,0,0,0,0,0,386,46.3,19.3,15.4
2024-02-08,Thursday,Sem1_Teaching,FALSE,Posho & Beans,336,283,53,15.8,"3,000","849,000","453,600","71,550","395,400",84,50.4,6.7,0,0,0,0,0,0,0,0,0,0,0
2024-02-08,Thursday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,292,264,28,9.6,"4,000","1,056,000","584,000","56,000","472,000",0,0,8.8,116.8,29.2,0,0,0,0,0,0,0,0,0
2024-02-08,Thursday,Sem1_Teaching,FALSE,Rice & Chicken,237,207,30,12.7,"6,000","1,242,000","782,100","99,000","459,900",0,0,9.5,0,0,47.4,42.7,0,0,0,0,0,0,0
2024-02-08,Thursday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),166,153,13,7.8,"3,500","535,500","278,880","21,840","256,620",0,0,0,58.1,0,0,0,24.9,8.3,0,0,0,0,0
2024-02-08,Thursday,Sem1_Teaching,FALSE,Chips & Eggs,210,187,23,11.0,"4,500","841,500","396,900","43,470","444,600",0,0,16.8,0,0,0,0,0,0,73.5,315,0,0,0
2024-02-08,Thursday,Sem1_Teaching,FALSE,Rolex,421,369,52,12.4,"2,500","922,500","399,950","49,400","522,550",0,0,0,0,0,0,0,0,0,0,421,50.5,21.1,16.8
2024-02-09,Friday,Sem1_Teaching,FALSE,Posho & Beans,298,257,41,13.8,"3,000","771,000","402,300","55,350","368,700",74.5,44.7,6,0,0,0,0,0,0,0,0,0,0,0
2024-02-09,Friday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,215,172,43,20.0,"4,000","688,000","430,000","86,000","258,000",0,0,6.5,86,21.5,0,0,0,0,0,0,0,0,0
2024-02-09,Friday,Sem1_Teaching,FALSE,Rice & Chicken,169,153,16,9.5,"6,000","918,000","557,700","52,800","360,300",0,0,6.8,0,0,33.8,30.4,0,0,0,0,0,0,0
2024-02-09,Friday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),147,129,18,12.2,"3,500","451,500","246,960","30,240","204,540",0,0,0,51.4,0,0,0,22.1,7.4,0,0,0,0,0
2024-02-09,Friday,Sem1_Teaching,FALSE,Chips & Eggs,183,151,32,17.5,"4,500","679,500","345,870","60,480","333,630",0,0,14.6,0,0,0,0,0,0,64,274,0,0,0
2024-02-09,Friday,Sem1_Teaching,FALSE,Rolex,333,310,23,6.9,"2,500","775,000","316,350","21,850","458,650",0,0,0,0,0,0,0,0,0,0,333,40,16.7,13.3
2024-02-10,Saturday,Sem1_Teaching,TRUE,Posho & Beans,99,78,21,21.2,"3,000","234,000","133,650","28,350","100,350",24.8,14.8,2,0,0,0,0,0,0,0,0,0,0,0
2024-02-10,Saturday,Sem1_Teaching,TRUE,Matooke & Groundnut Stew,80,64,16,20.0,"4,000","256,000","160,000","32,000","96,000",0,0,2.4,32,8,0,0,0,0,0,0,0,0,0
2024-02-10,Saturday,Sem1_Teaching,TRUE,Rice & Chicken,71,66,5,7.0,"6,000","396,000","234,300","16,500","161,700",0,0,2.8,0,0,14.2,12.8,0,0,0,0,0,0,0
2024-02-10,Saturday,Sem1_Teaching,TRUE,Katogo (Offal+Matoke),55,52,3,5.5,"3,500","182,000","92,400","5,040","89,600",0,0,0,19.2,0,0,0,8.2,2.8,0,0,0,0,0
2024-02-10,Saturday,Sem1_Teaching,TRUE,Chips & Eggs,63,51,12,19.0,"4,500","229,500","119,070","22,680","110,430",0,0,5,0,0,0,0,0,0,22,94,0,0,0
2024-02-10,Saturday,Sem1_Teaching,TRUE,Rolex,129,114,15,11.6,"2,500","285,000","122,550","14,250","162,450",0,0,0,0,0,0,0,0,0,0,129,15.5,6.5,5.2
2024-02-11,Sunday,Sem1_Teaching,TRUE,Posho & Beans,111,106,5,4.5,"3,000","318,000","149,850","6,750","168,150",27.8,16.6,2.2,0,0,0,0,0,0,0,0,0,0,0
2024-02-11,Sunday,Sem1_Teaching,TRUE,Matooke & Groundnut Stew,80,64,16,20.0,"4,000","256,000","160,000","32,000","96,000",0,0,2.4,32,8,0,0,0,0,0,0,0,0,0
2024-02-11,Sunday,Sem1_Teaching,TRUE,Rice & Chicken,62,53,9,14.5,"6,000","318,000","204,600","29,700","113,400",0,0,2.5,0,0,12.4,11.2,0,0,0,0,0,0,0
2024-02-11,Sunday,Sem1_Teaching,TRUE,Katogo (Offal+Matoke),57,54,3,5.3,"3,500","189,000","95,760","5,040","93,240",0,0,0,19.9,0,0,0,8.5,2.9,0,0,0,0,0
2024-02-11,Sunday,Sem1_Teaching,TRUE,Chips & Eggs,54,47,7,13.0,"4,500","211,500","102,060","13,230","109,440",0,0,4.3,0,0,0,0,0,0,18.9,81,0,0,0
2024-02-11,Sunday,Sem1_Teaching,TRUE,Rolex,118,97,21,17.8,"2,500","242,500","112,100","19,950","130,400",0,0,0,0,0,0,0,0,0,0,118,14.2,5.9,4.7
2024-02-12,Monday,Sem1_Teaching,FALSE,Posho & Beans,323,273,50,15.5,"3,000","819,000","436,050","67,500","382,950",80.8,48.4,6.5,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,Monday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,304,256,48,15.8,"4,000","1,024,000","608,000","96,000","416,000",0,0,9.1,121.6,30.4,0,0,0,0,0,0,0,0,0
2024-02-12,Monday,Sem1_Teaching,FALSE,Rice & Chicken,220,202,18,8.2,"6,000","1,212,000","726,000","59,400","486,000",0,0,8.8,0,0,44,39.6,0,0,0,0,0,0,0
2024-02-12,Monday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),175,170,5,2.9,"3,500","595,000","294,000","8,400","301,000",0,0,0,61.2,0,0,0,26.2,8.8,0,0,0,0,0
2024-02-12,Monday,Sem1_Teaching,FALSE,Chips & Eggs,218,181,37,17.0,"4,500","814,500","412,020","69,930","402,480",0,0,17.4,0,0,0,0,0,0,76.3,327,0,0,0
2024-02-12,Monday,Sem1_Teaching,FALSE,Rolex,399,335,64,16.0,"2,500","837,500","379,050","60,800","458,450",0,0,0,0,0,0,0,0,0,0,399,47.9,20,16
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Posho & Beans,334,262,72,21.6,"3,000","786,000","450,900","97,200","335,100",83.5,50.1,6.7,0,0,0,0,0,0,0,0,0,0,0
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,286,251,35,12.2,"4,000","1,004,000","572,000","70,000","432,000",0,0,8.6,114.4,28.6,0,0,0,0,0,0,0,0,0
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Rice & Chicken,200,167,33,16.5,"6,000","1,002,000","660,000","108,900","342,000",0,0,8,0,0,40,36,0,0,0,0,0,0,0
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),194,160,34,17.5,"3,500","560,000","325,920","57,120","234,080",0,0,0,67.9,0,0,0,29.1,9.7,0,0,0,0,0
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Chips & Eggs,185,162,23,12.4,"4,500","729,000","349,650","43,470","379,350",0,0,14.8,0,0,0,0,0,0,64.8,278,0,0,0
2024-02-13,Tuesday,Sem1_Teaching,FALSE,Rolex,438,362,76,17.4,"2,500","905,000","416,100","72,200","488,900",0,0,0,0,0,0,0,0,0,0,438,52.6,21.9,17.5
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Posho & Beans,362,337,25,6.9,"3,000","1,011,000","488,700","33,750","522,300",90.5,54.3,7.2,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,265,245,20,7.5,"4,000","980,000","530,000","40,000","450,000",0,0,7.9,106,26.5,0,0,0,0,0,0,0,0,0
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Rice & Chicken,214,193,21,9.8,"6,000","1,158,000","706,200","69,300","451,800",0,0,8.6,0,0,42.8,38.5,0,0,0,0,0,0,0
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),184,163,21,11.4,"3,500","570,500","309,120","35,280","261,380",0,0,0,64.4,0,0,0,27.6,9.2,0,0,0,0,0
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Chips & Eggs,183,173,10,5.5,"4,500","778,500","345,870","18,900","432,630",0,0,14.6,0,0,0,0,0,0,64,274,0,0,0
2024-02-14,Wednesday,Sem1_Teaching,FALSE,Rolex,385,314,71,18.4,"2,500","785,000","365,750","67,450","419,250",0,0,0,0,0,0,0,0,0,0,385,46.2,19.2,15.4
2024-02-15,Thursday,Sem1_Teaching,FALSE,Posho & Beans,317,284,33,10.4,"3,000","852,000","427,950","44,550","424,050",79.2,47.5,6.3,0,0,0,0,0,0,0,0,0,0,0
2024-02-15,Thursday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,289,226,63,21.8,"4,000","904,000","578,000","126,000","326,000",0,0,8.7,115.6,28.9,0,0,0,0,0,0,0,0,0
2024-02-15,Thursday,Sem1_Teaching,FALSE,Rice & Chicken,220,181,39,17.7,"6,000","1,086,000","726,000","128,700","360,000",0,0,8.8,0,0,44,39.6,0,0,0,0,0,0,0
2024-02-15,Thursday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),185,150,35,18.9,"3,500","525,000","310,800","58,800","214,200",0,0,0,64.8,0,0,0,27.8,9.2,0,0,0,0,0
2024-02-15,Thursday,Sem1_Teaching,FALSE,Chips & Eggs,207,177,30,14.5,"4,500","796,500","391,230","56,700","405,270",0,0,16.6,0,0,0,0,0,0,72.4,310,0,0,0
2024-02-15,Thursday,Sem1_Teaching,FALSE,Rolex,434,350,84,19.4,"2,500","875,000","412,300","79,800","462,700",0,0,0,0,0,0,0,0,0,0,434,52.1,21.7,17.4
2024-02-16,Friday,Sem1_Teaching,FALSE,Posho & Beans,288,231,57,19.8,"3,000","693,000","388,800","76,950","304,200",72,43.2,5.8,0,0,0,0,0,0,0,0,0,0,0
2024-02-16,Friday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,258,246,12,4.7,"4,000","984,000","516,000","24,000","468,000",0,0,7.7,103.2,25.8,0,0,0,0,0,0,0,0,0
2024-02-16,Friday,Sem1_Teaching,FALSE,Rice & Chicken,177,161,16,9.0,"6,000","966,000","584,100","52,800","381,900",0,0,7.1,0,0,35.4,31.9,0,0,0,0,0,0,0
2024-02-16,Friday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),162,144,18,11.1,"3,500","504,000","272,160","30,240","231,840",0,0,0,56.7,0,0,0,24.3,8.1,0,0,0,0,0
2024-02-16,Friday,Sem1_Teaching,FALSE,Chips & Eggs,171,141,30,17.5,"4,500","634,500","323,190","56,700","311,310",0,0,13.7,0,0,0,0,0,0,59.8,256,0,0,0
2024-02-16,Friday,Sem1_Teaching,FALSE,Rolex,312,299,13,4.2,"2,500","747,500","296,400","12,350","451,100",0,0,0,0,0,0,0,0,0,0,312,37.4,15.6,12.5
2024-02-17,Saturday,Sem1_Teaching,TRUE,Posho & Beans,113,102,11,9.7,"3,000","306,000","152,550","14,850","153,450",28.2,16.9,2.3,0,0,0,0,0,0,0,0,0,0,0
2024-02-17,Saturday,Sem1_Teaching,TRUE,Matooke & Groundnut Stew,81,68,13,16.0,"4,000","272,000","162,000","26,000","110,000",0,0,2.4,32.4,8.1,0,0,0,0,0,0,0,0,0
2024-02-17,Saturday,Sem1_Teaching,TRUE,Rice & Chicken,68,65,3,4.4,"6,000","390,000","224,400","9,900","165,600",0,0,2.7,0,0,13.6,12.2,0,0,0,0,0,0,0
2024-02-17,Saturday,Sem1_Teaching,TRUE,Katogo (Offal+Matoke),58,54,4,6.9,"3,500","189,000","97,440","6,720","91,560",0,0,0,20.3,0,0,0,8.7,2.9,0,0,0,0,0
2024-02-17,Saturday,Sem1_Teaching,TRUE,Chips & Eggs,61,48,13,21.3,"4,500","216,000","115,290","24,570","100,710",0,0,4.9,0,0,0,0,0,0,21.3,92,0,0,0
2024-02-17,Saturday,Sem1_Teaching,TRUE,Rolex,111,106,5,4.5,"2,500","265,000","105,450","4,750","159,550",0,0,0,0,0,0,0,0,0,0,111,13.3,5.6,4.4
2024-02-18,Sunday,Sem1_Teaching,TRUE,Posho & Beans,107,83,24,22.4,"3,000","249,000","144,450","32,400","104,550",26.8,16.1,2.1,0,0,0,0,0,0,0,0,0,0,0
2024-02-18,Sunday,Sem1_Teaching,TRUE,Matooke & Groundnut Stew,77,70,7,9.1,"4,000","280,000","154,000","14,000","126,000",0,0,2.3,30.8,7.7,0,0,0,0,0,0,0,0,0
2024-02-18,Sunday,Sem1_Teaching,TRUE,Rice & Chicken,59,47,12,20.3,"6,000","282,000","194,700","39,600","87,300",0,0,2.4,0,0,11.8,10.6,0,0,0,0,0,0,0
2024-02-18,Sunday,Sem1_Teaching,TRUE,Katogo (Offal+Matoke),54,49,5,9.3,"3,500","171,500","90,720","8,400","80,780",0,0,0,18.9,0,0,0,8.1,2.7,0,0,0,0,0
2024-02-18,Sunday,Sem1_Teaching,TRUE,Chips & Eggs,61,50,11,18.0,"4,500","225,000","115,290","20,790","109,710",0,0,4.9,0,0,0,0,0,0,21.3,92,0,0,0
2024-02-18,Sunday,Sem1_Teaching,TRUE,Rolex,125,103,22,17.6,"2,500","257,500","118,750","20,900","138,750",0,0,0,0,0,0,0,0,0,0,125,15,6.2,5
2024-02-19,Monday,Sem1_Teaching,FALSE,Posho & Beans,337,313,24,7.1,"3,000","939,000","454,950","32,400","484,050",84.2,50.5,6.7,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,Monday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,288,273,15,5.2,"4,000","1,092,000","576,000","30,000","516,000",0,0,8.6,115.2,28.8,0,0,0,0,0,0,0,0,0
2024-02-19,Monday,Sem1_Teaching,FALSE,Rice & Chicken,226,201,25,11.1,"6,000","1,206,000","745,800","82,500","460,200",0,0,9,0,0,45.2,40.7,0,0,0,0,0,0,0
2024-02-19,Monday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),165,140,25,15.2,"3,500","490,000","277,200","42,000","212,800",0,0,0,57.7,0,0,0,24.8,8.2,0,0,0,0,0
2024-02-19,Monday,Sem1_Teaching,FALSE,Chips & Eggs,190,157,33,17.4,"4,500","706,500","359,100","62,370","347,400",0,0,15.2,0,0,0,0,0,0,66.5,285,0,0,0
2024-02-19,Monday,Sem1_Teaching,FALSE,Rolex,437,375,62,14.2,"2,500","937,500","415,150","58,900","522,350",0,0,0,0,0,0,0,0,0,0,437,52.4,21.9,17.5
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Posho & Beans,377,341,36,9.5,"3,000","1,023,000","508,950","48,600","514,050",94.2,56.5,7.5,0,0,0,0,0,0,0,0,0,0,0
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,296,260,36,12.2,"4,000","1,040,000","592,000","72,000","448,000",0,0,8.9,118.4,29.6,0,0,0,0,0,0,0,0,0
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Rice & Chicken,223,195,28,12.6,"6,000","1,170,000","735,900","92,400","434,100",0,0,8.9,0,0,44.6,40.1,0,0,0,0,0,0,0
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),169,156,13,7.7,"3,500","546,000","283,920","21,840","262,080",0,0,0,59.1,0,0,0,25.3,8.5,0,0,0,0,0
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Chips & Eggs,191,149,42,22.0,"4,500","670,500","360,990","79,380","309,510",0,0,15.3,0,0,0,0,0,0,66.8,286,0,0,0
2024-02-20,Tuesday,Sem1_Teaching,FALSE,Rolex,411,335,76,18.5,"2,500","837,500","390,450","72,200","447,050",0,0,0,0,0,0,0,0,0,0,411,49.3,20.6,16.4
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Posho & Beans,380,368,12,3.2,"3,000","1,104,000","513,000","16,200","591,000",95,57,7.6,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,303,258,45,14.9,"4,000","1,032,000","606,000","90,000","426,000",0,0,9.1,121.2,30.3,0,0,0,0,0,0,0,0,0
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Rice & Chicken,198,191,7,3.5,"6,000","1,146,000","653,400","23,100","492,600",0,0,7.9,0,0,39.6,35.6,0,0,0,0,0,0,0
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),177,172,5,2.8,"3,500","602,000","297,360","8,400","304,640",0,0,0,61.9,0,0,0,26.6,8.8,0,0,0,0,0
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Chips & Eggs,218,207,11,5.0,"4,500","931,500","412,020","20,790","519,480",0,0,17.4,0,0,0,0,0,0,76.3,327,0,0,0
2024-02-21,Wednesday,Sem1_Teaching,FALSE,Rolex,383,328,55,14.4,"2,500","820,000","363,850","52,250","456,150",0,0,0,0,0,0,0,0,0,0,383,46,19.2,15.3
2024-02-22,Thursday,Sem1_Teaching,FALSE,Posho & Beans,374,315,59,15.8,"3,000","945,000","504,900","79,650","440,100",93.5,56.1,7.5,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,Thursday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,261,232,29,11.1,"4,000","928,000","522,000","58,000","406,000",0,0,7.8,104.4,26.1,0,0,0,0,0,0,0,0,0
2024-02-22,Thursday,Sem1_Teaching,FALSE,Rice & Chicken,239,219,20,8.4,"6,000","1,314,000","788,700","66,000","525,300",0,0,9.6,0,0,47.8,43,0,0,0,0,0,0,0
2024-02-22,Thursday,Sem1_Teaching,FALSE,Katogo (Offal+Matoke),182,145,37,20.3,"3,500","507,500","305,760","62,160","201,740",0,0,0,63.7,0,0,0,27.3,9.1,0,0,0,0,0
2024-02-22,Thursday,Sem1_Teaching,FALSE,Chips & Eggs,204,199,5,2.5,"4,500","895,500","385,560","9,450","509,940",0,0,16.3,0,0,0,0,0,0,71.4,306,0,0,0
2024-02-22,Thursday,Sem1_Teaching,FALSE,Rolex,371,327,44,11.9,"2,500","817,500","352,450","41,800","465,050",0,0,0,0,0,0,0,0,0,0,371,44.5,18.6,14.8
2024-02-23,Friday,Sem1_Teaching,FALSE,Posho & Beans,319,296,23,7.2,"3,000","888,000","430,650","31,050","457,350",79.8,47.9,6.4,0,0,0,0,0,0,0,0,0,0,0
2024-02-23,Friday,Sem1_Teaching,FALSE,Matooke & Groundnut Stew,247,227,20,8.1,"4,000","908,000","494,000","40,000","414,000",0,0,7.4,98.8,24.7,0,0,0,0,0,0,0,0,0
2024-02-23,Friday,Sem1_Teaching,FALSE,Rice & Chicken,181,151,30,16.6,"6,000","906,000","597,300","99,000","308,700",0,0,7.2,0,0,36.2,32.6,0,0,0,0,0,0,0
